,arm_selected,rewards,regret,label,overhead
0,0.7,-0.09169960021972656,0.09169960021972656,cat,0.0
1,0.75,0.0401502251625061,0.0,cat,0.0
2,0.8,0.11005425453186037,0.0,cat,0.0
3,0.85,0.4297282993793488,0.0,cat,0.0
4,0.9,0,0,cat,0.0
5,0.85,0.10721194744110107,0.0,cat,0.0
6,0.85,0.015205740928649902,0.0,cat,0.0
7,0.85,0.21146374940872192,0.0,cat,0.0
8,0.85,0.4728582203388214,0.0,cat,0.0
9,0.85,-0.0406309962272644,0.0406309962272644,cat,0.0
10,0.85,0.06595748662948607,0.0,cat,0.0
11,0.85,0.011752754449844359,0.0,cat,0.0
12,0.8,-0.1272047758102417,0.1272047758102417,cat,0.0
13,0.85,0.12282881140708925,0.0,cat,0.0
14,0.85,0,0,cat,0.0
15,0.75,0.17441293597221375,0.0,cat,0.0
16,0.75,0.1458362340927124,0.0,cat,0.0
17,0.75,0,0.010650694370269777,cat,0.0
18,0.85,0,0.05346131324768066,cat,0.0
19,0.9,0.2968968152999878,0.0,cat,0.0
20,0.9,0.2563139796257019,0.0,cat,0.0
21,0.9,0.18192148208618164,0.0,cat,0.0
22,0.9,0.07932615280151367,0.0,cat,0.0
23,0.9,0.10331791639328004,0.0,cat,0.0
24,0.9,-0.0651807188987732,0.0651807188987732,cat,0.0
25,0.9,-0.012358248233795166,0.012358248233795166,cat,0.0
26,0.85,0.08082929253578186,0.0,cat,0.0
27,0.85,0.12036263942718504,0.0,cat,0.0
28,0.85,0.0983741283416748,0.0,cat,0.0
29,0.75,0.26082551479339605,0.0,cat,0.0
30,0.75,0.3852715194225311,0.0,cat,0.0
31,0.75,0,0.008451461791992188,cat,0.0
32,0.75,0,0.03195500373840332,cat,0.0
33,0.75,0.09631121158599854,0.0,cat,0.0
34,0.75,0.20406490564346316,0.0,cat,0.0
35,0.75,0,0.203833281993866,cat,0.0
36,0.75,0.2674770951271057,0.0,cat,0.0
37,0.75,0.3066806495189667,0.0,cat,0.0
38,0.75,0.21071407198905945,0.0,cat,0.0
39,0.75,0.031295716762542725,0.0,cat,0.0
40,0.75,0.22853833436965945,0.0,cat,0.0
41,0.75,0,0.06018775701522828,cat,0.0
42,0.75,0,0.16200417280197146,cat,0.0
43,0.75,0.2809227705001831,0.0,cat,0.0
44,0.75,0.2075194716453552,0.0,cat,0.0
45,0.75,0.3559668958187103,0.0,cat,0.0
46,0.75,0.4498278498649597,0.0,cat,0.0
47,0.75,0,0.0290987491607666,cat,0.0
48,0.75,0.3467090427875519,0.0,cat,0.0
49,0.75,0,0,cat,0.0
