,delta_conf,label,target,conf_branch_1,infered_class_branches_1,correct_branch_1,infered_label_branches_1,conf_branch_2,infered_class_branches_2,correct_branch_2,infered_label_branches_2
0,0.2238008975982666,cat,3.0,0.7514008283615112,3,1,cat,0.9752017259597778,3,1,cat
1,0.05325281620025635,ship,8.0,0.9257799386978149,8,1,ship,0.9790327548980713,8,1,ship
2,0.031165778636932373,ship,8.0,0.9677735567092896,8,1,ship,0.9989393353462219,8,1,ship
3,0.3024659752845764,airplane,0.0,0.5236004590988159,0,1,airplane,0.8260664343833923,0,1,airplane
4,0.01600569486618042,frog,6.0,0.971611738204956,6,1,frog,0.9876174330711365,6,1,frog
5,0.11480045318603516,frog,6.0,0.870807409286499,6,1,frog,0.9856078624725342,6,1,frog
6,0.47970545291900635,automobile,1.0,0.32827866077423096,1,1,automobile,0.8079841136932373,3,0,cat
7,0.3669471740722656,frog,6.0,0.6134924292564392,6,1,frog,0.9804396033287048,6,1,frog
8,0.29464685916900635,cat,3.0,0.61988765001297,3,1,cat,0.9145345091819763,3,1,cat
9,0.3233145773410797,automobile,1.0,0.4686598479747772,1,1,automobile,0.7919744253158569,1,1,automobile
10,0.14024513959884644,airplane,0.0,0.8566107153892517,0,1,airplane,0.9968558549880981,0,1,airplane
11,0.003275632858276367,truck,9.0,0.9958194494247437,9,1,truck,0.99909508228302,9,1,truck
12,0.12176105380058289,dog,5.0,0.42035993933677673,5,1,dog,0.5421209931373596,5,1,dog
13,0.012261688709259033,horse,7.0,0.9867304563522339,7,1,horse,0.9989921450614929,7,1,horse
14,0.00526660680770874,truck,9.0,0.9937595725059509,9,1,truck,0.9990261793136597,9,1,truck
15,0.2678723931312561,ship,8.0,0.7215234041213989,8,1,ship,0.989395797252655,8,1,ship
16,0.026790976524353027,dog,5.0,0.9093667268753052,5,1,dog,0.9361577033996582,5,1,dog
17,0.1279599666595459,horse,7.0,0.8378384113311768,7,1,horse,0.9657983779907227,7,1,horse
18,0.00377500057220459,ship,8.0,0.9958963394165039,8,1,ship,0.9996713399887085,8,1,ship
19,0.005360305309295654,frog,6.0,0.9946271777153015,6,1,frog,0.9999874830245972,6,1,frog
20,0.004191458225250244,horse,7.0,0.6752389073371887,7,1,horse,0.679430365562439,7,1,horse
21,0.187907874584198,airplane,0.0,0.7756905555725098,0,1,airplane,0.9635984301567078,0,1,airplane
22,0.05228191614151001,deer,4.0,0.894262433052063,4,1,deer,0.946544349193573,4,1,deer
23,0.019775688648223877,truck,9.0,0.9788070321083069,9,1,truck,0.9985827207565308,9,1,truck
24,-0.015122592449188232,dog,5.0,0.8758553266525269,4,0,deer,0.8607327342033386,4,0,deer
25,0.16101479530334473,bird,2.0,0.5752795338630676,2,1,bird,0.7362943291664124,2,1,bird
26,0.01515817642211914,deer,4.0,0.981860876083374,4,1,deer,0.9970190525054932,4,1,deer
27,0.14921468496322632,airplane,0.0,0.5088011622428894,0,1,airplane,0.6580158472061157,0,1,airplane
28,0.01350480318069458,truck,9.0,0.9817051887512207,9,1,truck,0.9952099919319153,9,1,truck
29,0.1354042887687683,frog,6.0,0.8611414432525635,6,1,frog,0.9965457320213318,6,1,frog
30,0.02373969554901123,frog,6.0,0.9753924012184143,6,1,frog,0.9991320967674255,6,1,frog
31,0.05257827043533325,dog,5.0,0.9142277240753174,5,1,dog,0.9668059945106506,5,1,dog
32,-0.260246217250824,deer,4.0,0.8421897888183594,4,1,deer,0.5819435715675354,4,1,deer
33,0.07844597101211548,dog,5.0,0.6189830899238586,3,0,cat,0.6974290609359741,3,0,cat
34,0.014905571937561035,truck,9.0,0.9840090274810791,9,1,truck,0.9989145994186401,9,1,truck
35,0.38371920585632324,bird,2.0,0.43468254804611206,6,0,frog,0.8184017539024353,8,0,ship
36,-0.313338041305542,deer,4.0,0.8787456750869751,4,1,deer,0.5654076337814331,4,1,deer
